rank,category_name,name,moneydj_id,twelve_data_symbol,benchmark,return_1y,benchmark_return_1y,excess_return_1y,momentum_6m,sharpe,max_drawdown,recovery_days,score,signal,quantum_coverage,quantum_exposure,quantum_holdings,holdings_as_of,optical_coverage,optical_exposure,optical_holdings,optical_as_of,memory_coverage,memory_exposure,memory_holdings,memory_as_of,robotics_coverage,robotics_exposure,robotics_holdings,robotics_as_of,status
1,債券型,施羅德環球基金系列-亞洲可轉換債券(美元)A-累積(基金主要係投資於非投資等級之高風險債券),,,AGG,31.63,,,8.86,0.540,,,,待資料,,,,,,,,,,,,,,,,,已驗證（活動績效表 2026-08-11；回撤/恢復期資料不足）
2,債券型,合庫新興多重收益基金-A不配息(南非幣)(本基金之子基金得投資於非投資等級之高風險債券),,,AGG,29.44,,,1.16,0.770,,,,待資料,,,,,,,,,,,,,,,,,已驗證（活動績效表 2026-08-10；回撤/恢復期資料不足）
3,債券型,富蘭克林華美目標2027組合基金-R類型(台幣),,,AGG,26.99,,,12.65,0.900,,,,待資料,,,,,,,,,,,,,,,,,已驗證（活動績效表 2026-08-11；回撤/恢復期資料不足）
4,債券型,復華南非幣長期收益基金A不配息(本基金有一定比重得投資於非投資等級之高風險債券),,,AGG,22.70,,,1.60,0.510,,,,待資料,,,,,,,,,,,,,,,,,已驗證（活動績效表 2026-08-07；回撤/恢復期資料不足）
5,債券型,宏利全球非投資等級債券基金-A不配息(南非幣避險)(本基金主要投資於非投資等級之高風險債券),,,AGG,21.48,,,4.00,0.240,,,,待資料,,,,,,,,,,,,,,,,,已驗證（活動績效表 2026-08-10；回撤/恢復期資料不足）
6,債券型,東方匯理新興市場非投資等級債券基金-AD月配型(台幣)(本基金之配息來源可能為本金),,,AGG,19.05,,,3.54,2.080,,,,待資料,,,,,,,,,,,,,,,,,已驗證（活動績效表 2026-08-10；回撤/恢復期資料不足）
7,債券型,安聯新興債券收益組合基金-B月配型(台幣)(本基金有一定比例之投資包含高風險非投資等級債券基金且配息來源可能為本金),,,AGG,18.90,,,3.42,2.050,,,,待資料,,,,,,,,,,,,,,,,,已驗證（活動績效表 2026-08-10；回撤/恢復期資料不足）
8,債券型,柏瑞新興邊境非投資等級債券基金B月配息(台幣)(本基金之配息來源可能為本金),,,AGG,18.35,,,3.75,2.040,,,,待資料,,,,,,,,,,,,,,,,,已驗證（活動績效表 2026-08-10；回撤/恢復期資料不足）
9,債券型,富蘭克林華美新興國家固定收益基金-NB分配型(台幣)(本基金有相當比重投資於非投資等級之高風險債券且基金之配息來源可能為本金),,,AGG,18.21,,,3.81,0.860,,,,待資料,,,,,,,,,,,,,,,,,已驗證（活動績效表 2026-08-10；回撤/恢復期資料不足）
10,債券型,宏利澳洲優選債券收益基金-A不配息(新臺幣)(本基金有一定比重得投資於非投資等級之高風險債券),,,AGG,16.64,,,2.85,0.710,,,,待資料,,,,,,,,,,,,,,,,,已驗證（活動績效表 2026-08-10；回撤/恢復期資料不足）
