rank,category_name,name,moneydj_id,twelve_data_symbol,benchmark,return_1y,benchmark_return_1y,excess_return_1y,momentum_6m,sharpe,max_drawdown,recovery_days,score,signal,quantum_coverage,quantum_exposure,quantum_holdings,holdings_as_of,status
1,中國,景順大中華基金C股美元,,,MCHI,31.50,,,5.32,0.420,,,,待資料,,,,,已驗證（活動績效表 2026-08-11；回撤/恢復期資料不足）
2,中國,利安資金中國增長基金(美元),,,MCHI,30.44,,,11.21,0.310,,,,待資料,,,,,已驗證（活動績效表 2026-08-07；回撤/恢復期資料不足）
3,中國,高盛基金III - 高盛大中華股票基金X股美元,,,MCHI,28.48,,,2.65,0.300,,,,待資料,,,,,已驗證（活動績效表 2026-08-11；回撤/恢復期資料不足）
4,中國,柏瑞環球基金-柏瑞大中華股票基金A,,,MCHI,26.35,,,8.94,0.390,,,,待資料,,,,,已驗證（活動績效表 2026-08-11；回撤/恢復期資料不足）
5,中國,安聯中國股票基金-IT累積類股(美元),,,MCHI,8.12,,,-4.87,0.130,,,,待資料,,,,,已驗證（活動績效表 2026-08-11；回撤/恢復期資料不足）
6,中國,施羅德環球基金系列-中國優勢(美元)A-累積,,,MCHI,5.59,,,-8.86,0.090,,,,待資料,,,,,已驗證（活動績效表 2026-08-11；回撤/恢復期資料不足）
7,中國,瀚亞投資-中國股票基金Azdmc1(南非幣避險穩定月配)(本基金配息來源可能為本金),,,MCHI,5.06,,,-7.21,0.080,,,,待資料,,,,,已驗證（活動績效表 2026-08-11；回撤/恢復期資料不足）
8,中國,貝萊德中國基金A10美元(總報酬穩定配息)(本基金之配息來源可能為本金),,,MCHI,4.45,,,-5.07,0.080,,,,待資料,,,,,已驗證（活動績效表 2026-08-11；回撤/恢復期資料不足）
9,中國,景順中國新世代基金C-年配息股美元,,,MCHI,2.82,,,-10.37,0.050,,,,待資料,,,,,已驗證（活動績效表 2026-08-11；回撤/恢復期資料不足）
10,中國,先機中國基金L類累積股(美元),,,MCHI,2.73,,,-8.68,0.050,,,,待資料,,,,,已驗證（活動績效表 2026-08-11；回撤/恢復期資料不足）
