rank,category_name,name,moneydj_id,twelve_data_symbol,benchmark,return_1y,benchmark_return_1y,excess_return_1y,momentum_6m,sharpe,max_drawdown,recovery_days,score,signal,quantum_coverage,quantum_exposure,quantum_holdings,holdings_as_of,status
1,醫療,富蘭克林坦伯頓全球投資系列生技領航基金美元A(acc),,,XLV,79.26,52.00,27.26,20.90,0.830,,,1.440,買進,,,,,已驗證（活動績效表 2026-08-11；回撤/恢復期資料不足）
2,醫療,百達-生物科技-I美元,,,XLV,76.22,52.00,24.22,23.27,0.710,,,1.379,買進,,,,,已驗證（活動績效表 2026-08-11；回撤/恢復期資料不足）
3,醫療,百達-生物科技-HR南非幣月配息(基金之配息來源可能為本金),,,XLV,75.81,52.00,23.81,22.90,0.700,,,1.365,買進,,,,,已驗證（活動績效表 2026-08-11；回撤/恢復期資料不足）
4,醫療,百達-生物科技-HR澳幣,,,XLV,72.19,52.00,20.19,22.03,0.680,,,1.280,買進,,,,,已驗證（活動績效表 2026-08-11；回撤/恢復期資料不足）
5,醫療,瑞銀(盧森堡)生化股票基金(美元),,,XLV,54.61,52.00,2.61,15.87,0.770,,,0.885,買進,,,,,已驗證（活動績效表 2026-08-10；回撤/恢復期資料不足）
6,醫療,摩根基金-基因治療主題基金A股(美元)(累計),,,XLV,49.29,52.00,-2.71,14.10,0.630,,,0.733,觀察,,,,,已驗證（活動績效表 2026-08-11；回撤/恢復期資料不足）
7,醫療,駿利亨德森資產管理基金-駿利亨德森環球生命科技基金I2美元,,,XLV,43.74,52.00,-8.26,10.48,0.770,,,0.614,觀察,,,,,已驗證（活動績效表 2026-08-11；回撤/恢復期資料不足）
8,醫療,安聯全球生物科技基金-A配息類股(歐元),,,XLV,41.88,52.00,-10.12,15.40,0.440,,,0.560,觀察,,,,,已驗證（活動績效表 2026-08-11；回撤/恢復期資料不足）
9,醫療,瑞銀(盧森堡)健康轉型基金(美元)(本基金非屬環境、社會及治理相關主題基金),,,XLV,33.27,52.00,-18.73,6.62,0.710,,,0.354,觀察,,,,,已驗證（活動績效表 2026-08-10；回撤/恢復期資料不足）
10,醫療,宏利環球基金-康健護理基金AA股,,,XLV,31.87,52.00,-20.13,5.53,0.670,,,0.307,觀察,,,,,已驗證（活動績效表 2026-08-11；回撤/恢復期資料不足）
