rank,category_name,name,isin,currency,distribution,moneydj_id,twelve_data_symbol,benchmark,return_1y,distribution_yield_12m,total_return_1y,benchmark_return_1y,excess_return_1y,momentum_6m,sharpe,max_drawdown,recovery_days,score,signal,quantum_coverage,quantum_exposure,quantum_holdings,holdings_as_of,optical_coverage,optical_exposure,optical_holdings,optical_as_of,memory_coverage,memory_exposure,memory_holdings,memory_as_of,robotics_coverage,robotics_exposure,robotics_holdings,robotics_as_of,status
1,台灣,元大多多基金,待核實,台幣,否,,,EWT,209.69,不適用,209.69,-33.20,242.89,73.97,2.140,,,5.693,買進,,,,,,,,,,,,,,,,,已驗證（活動績效表 2026-08-11；回撤/恢復期資料不足）
2,台灣,施羅德台灣樂活中小基金-A類型,待核實,台幣,否,,,EWT,214.25,不適用,214.25,-33.20,247.45,89.64,0.900,,,5.693,買進,,,,,,,,,,,,,,,,,已驗證（活動績效表 2026-08-11；回撤/恢復期資料不足）
3,台灣,統一中小基金,待核實,台幣,否,ACPS06,,EWT,201.12,不適用,201.12,-33.20,234.32,88.06,2.000,-27.97,,5.495,買進,,,,,,,,,,,,,,,,,已更新（MoneyDJ歷史淨值至 20260813）
4,台灣,安聯台灣科技基金,待核實,台幣,否,ACDD04,,EWT,200.68,不適用,200.68,-33.20,233.88,63.33,2.030,-32.10,,5.224,買進,,,,,,,,,,,,,,,,,已更新（MoneyDJ歷史淨值至 20260813）
5,台灣,元大經貿基金,待核實,台幣,否,,,EWT,186.31,不適用,186.31,-33.20,219.51,74.19,2.020,,,5.204,買進,,,,,,,,,,,,,,,,,已驗證（活動績效表 2026-08-11；回撤/恢復期資料不足）
6,台灣,元大高科技基金,待核實,台幣,否,,,EWT,195.69,不適用,195.69,-33.20,228.89,70.91,0.940,,,5.143,買進,,,,,,,,,,,,,,,,,已驗證（活動績效表 2026-08-11；回撤/恢復期資料不足）
7,台灣,野村鴻運基金,待核實,台幣,否,AC0001,,EWT,190.45,不適用,190.45,-33.20,223.65,66.36,2.020,-27.67,,5.070,買進,,,,,,,,,,,,,,,,,已更新（MoneyDJ歷史淨值至 20260813）
8,台灣,野村中小基金-累積S類型(台幣),待核實,台幣,否,,,EWT,186.26,不適用,186.26,-33.20,219.46,70.70,0.960,,,4.956,買進,,,,,,,,,,,,,,,,,已驗證（活動績效表 2026-08-11；回撤/恢復期資料不足）
9,台灣,街口中小型基金,待核實,台幣,否,ACCH03,,EWT,193.07,不適用,193.07,-33.20,226.27,50.58,2.110,-35.29,,4.945,買進,,,,,,,,,,,,,,,,,已更新（MoneyDJ歷史淨值至 20260813）
10,台灣,統一龍馬基金,待核實,台幣,否,ACPS03,,EWT,184.99,不適用,184.99,-33.20,218.19,84.69,0.990,-27.87,,4.937,買進,,,,,,,,,,,,,,,,,已更新（MoneyDJ歷史淨值至 20260813）
