rank,category_name,name,moneydj_id,twelve_data_symbol,benchmark,return_1y,benchmark_return_1y,excess_return_1y,momentum_6m,sharpe,max_drawdown,recovery_days,score,signal,quantum_coverage,quantum_exposure,quantum_holdings,holdings_as_of,status
1,美國,美盛銳思美國小型公司機會基金優類股美元累積型,,,SPY,46.32,22.52,23.80,14.78,0.720,,,0.993,買進,,,,,已驗證（活動績效表 2026-08-11；回撤/恢復期資料不足）
2,美國,施羅德環球基金系列-美國中小型股票(歐元)A-累積,,,SPY,36.62,22.52,14.10,10.87,0.820,,,0.780,買進,,,,,已驗證（活動績效表 2026-08-11；回撤/恢復期資料不足）
3,美國,普徠仕(盧森堡)系列基金-普徠仕美國大型價值股票基金Q級別(美元),,,SPY,32.95,22.52,10.43,16.00,0.930,,,0.780,買進,,,,,已驗證（活動績效表 2026-08-11；回撤/恢復期資料不足）
4,美國,聯博-美國價值基金A級別美元,,,SPY,35.04,22.52,12.52,11.16,0.790,,,0.745,買進,,,,,已驗證（活動績效表 2026-08-11；回撤/恢復期資料不足）
5,美國,美盛銳思美國小型公司基金A類股歐元累積型,,,SPY,37.56,22.52,15.04,9.61,0.590,,,0.740,買進,,,,,已驗證（活動績效表 2026-08-11；回撤/恢復期資料不足）
6,美國,先機北美股票基金L類累積股(歐元),,,SPY,28.43,22.52,5.91,18.25,0.870,,,0.700,買進,,,,,已驗證（活動績效表 2026-08-11；回撤/恢復期資料不足）
7,美國,瑞銀(盧森堡)美國總收益股票基金(美元)(月配息)(本基金之配息來源可能為本金),,,SPY,30.52,22.52,8.00,15.91,0.690,,,0.682,買進,,,,,已驗證（活動績效表 2026-08-10；回撤/恢復期資料不足）
8,美國,駿利亨德森資產管理基金-駿利亨德森美國創業基金I2美元,,,SPY,28.76,22.52,6.24,15.69,0.600,,,0.627,買進,,,,,已驗證（活動績效表 2026-08-11；回撤/恢復期資料不足）
9,美國,荷寶資本成長基金-荷寶BP美國卓越股票D美元,,,SPY,28.53,22.52,6.01,13.59,0.710,,,0.623,買進,,,,,已驗證（活動績效表 2026-08-10；回撤/恢復期資料不足）
10,美國,法巴美國小型股票基金C(美元),,,SPY,30.12,22.52,7.60,10.69,0.550,,,0.594,買進,,,,,已驗證（活動績效表 2026-08-11；回撤/恢復期資料不足）
