date,nav
2008-10-03,136.43
2008-10-06,127.49
2008-10-08,116.3
2008-10-09,120.21
2008-10-10,113.57
2008-10-13,119.79
2008-10-14,129.42
2008-10-15,121.58
2008-10-16,114.25
2008-10-17,110.91
2008-10-20,117.02
2008-10-21,113.57
2008-10-22,108.87
2008-10-23,104.45
2008-10-24,95.86
2008-10-27,86.71
2008-10-28,91.88
2008-10-29,94.09
2008-10-30,107.82
2008-10-31,107.72
2008-11-03,108.29
2008-11-04,109.93
2008-11-05,113.56
2008-11-06,105.6
2008-11-07,107.63
2008-11-10,111.91
2008-11-11,106.65
2008-11-12,106.4
2008-11-13,103.98
2008-11-14,107.04
2008-11-17,103.75
2008-11-18,98.51
2008-11-19,99.83
2008-11-20,94.95
2008-11-21,96.71
2008-11-24,98.62
2008-11-25,99.84
2008-11-26,102.99
2008-11-27,104.49
2008-11-28,105.03
2008-12-01,106.39
2008-12-02,102.49
2008-12-03,104.69
2008-12-04,105.98
2008-12-05,105.93
2008-12-08,112.26
2008-12-09,114.55
2008-12-10,117.34
2008-12-11,119.67
2008-12-12,113.97
2008-12-15,114.26
2008-12-16,117.07
2008-12-17,118.55
2008-12-18,121.92
2008-12-19,119.11
2008-12-22,117.13
2008-12-23,113.01
2008-12-29,116.2
2008-12-30,115.5
2008-12-31,117.53
2009-01-02,121.77
2009-01-05,124.44
2009-01-06,127.97
2009-01-07,124.57
2009-01-08,118.97
2009-01-09,118.28
2009-01-12,117.1
2009-01-13,112.68
2009-01-14,113.16
2009-01-15,108.86
2009-01-16,112.19
2009-01-19,112.33
2009-01-20,110.72
2009-01-21,107.06
2009-01-22,110.04
2009-01-23,106.52
2009-01-29,111.43
2009-01-30,112.73
2009-02-02,109.11
2009-02-03,110.77
2009-02-04,114.53
2009-02-05,114.75
2009-02-06,117.77
2009-02-09,118.27
2009-02-10,116.84
2009-02-11,116.25
2009-02-12,113.22
2009-02-13,116.66
2009-02-16,114.86
2009-02-17,111.44
2009-02-18,110.76
2009-02-19,112.82
2009-02-20,109.84
2009-02-23,113.83
2009-02-24,109.55
2009-02-25,112.88
2009-02-26,111.25
2009-02-27,109.81
2009-03-02,105.5
2009-03-03,105.11
2009-03-04,109.71
2009-03-05,107.71
2009-03-06,107.45
2009-03-09,106.41
2009-03-10,108.34
2009-03-11,110.83
2009-03-12,108.54
2009-03-13,113.34
2009-03-16,116.46
2009-03-17,114.8
2009-03-18,115.7
2009-03-19,117.6
2009-03-20,115.24
2009-03-23,120.12
2009-03-24,120.5
2009-03-25,121.35
2009-03-26,124.53
2009-03-27,125.94
2009-03-30,120.27
2009-03-31,122.46
2009-04-01,123.26
2009-04-02,129.52
2009-04-03,132.01
2009-04-06,133.78
2009-04-07,130.06
2009-04-08,129.62
2009-04-09,132.03
2009-04-14,138.09
2009-04-15,139.52
2009-04-16,139.58
2009-04-17,139.05
2009-04-20,139.17
2009-04-21,138.1
2009-04-22,134.49
2009-04-23,137.4
2009-04-24,138.44
2009-04-27,134.98
2009-04-28,131.98
2009-04-29,135.75
2009-04-30,138.92
2009-05-04,143.94
2009-05-05,145.55
2009-05-06,146.27
2009-05-07,150.03
2009-05-08,149.29
2009-05-11,145.33
2009-05-12,147.68
2009-05-13,146.55
2009-05-14,143.57
2009-05-15,144.97
2009-05-18,146.76
2009-05-19,150.66
2009-05-20,150.87
2009-05-22,150.02
2009-05-25,151.52
2009-05-26,150.66
2009-05-27,157.41
2009-05-29,161.55
2009-06-02,164.29
2009-06-03,165.54
2009-06-04,165.05
2009-06-05,169.39
2009-06-08,162.3
2009-06-09,160.09
2009-06-10,165.52
2009-06-11,166.71
2009-06-12,165.92
2009-06-15,162.92
2009-06-16,160.43
2009-06-17,160.44
2009-06-18,158.4
2009-06-19,160.38
2009-06-22,161.53
2009-06-24,160.48
2009-06-25,163.07
2009-06-26,164.68
2009-06-29,164.92
2009-06-30,164.23
2009-07-02,163.82
2009-07-03,163.99
2009-07-06,163.28
2009-07-07,164.2
2009-07-08,160.93
2009-07-09,162.67
2009-07-10,162.99
2009-07-13,158.39
2009-07-14,162.62
2009-07-15,165.99
2009-07-16,165.61
2009-07-17,170.71
2009-07-20,175.67
2009-07-21,174.86
2009-07-22,173.35
2009-07-23,177.05
2009-07-24,180.52
2009-07-27,182.36
2009-07-28,185.48
2009-07-29,182.85
2009-07-30,182.57
2009-07-31,185.14
2009-08-03,190.2
2009-08-04,186.19
2009-08-05,184.48
2009-08-06,187.09
2009-08-07,182.15
2009-08-10,185.16
2009-08-11,187.4
2009-08-12,183.89
2009-08-13,185.43
2009-08-14,185.81
2009-08-17,178.23
2009-08-18,179.29
2009-08-19,178.58
2009-08-20,180.28
2009-08-21,179.09
2009-08-24,182.75
2009-08-25,183.34
2009-08-26,183.3
2009-08-27,182.58
2009-08-28,180.8
2009-08-31,177.94
2009-09-01,177.29
2009-09-02,176.39
2009-09-03,179.31
2009-09-04,185.58
2009-09-07,188.42
2009-09-08,189.65
2009-09-09,189.01
2009-09-10,190.59
2009-09-11,191.48
2009-09-14,190.68
2009-09-15,189.88
2009-09-16,195.15
2009-09-17,197.01
2009-09-18,195.43
2009-09-21,194.41
2009-09-22,195.97
2009-09-23,195.88
2009-09-24,191.96
2009-09-25,191.9
2009-09-28,188.85
2009-09-29,190.9
2009-09-30,191.69
2009-10-02,186.55
2009-10-05,187.25
2009-10-06,192.17
2009-10-07,194.87
2009-10-08,196.87
2009-10-09,197.32
2009-10-12,198.15
2009-10-13,198.3
2009-10-14,203.08
2009-10-15,201.73
2009-10-16,201.5
2009-10-19,202.84
2009-10-20,204.46
2009-10-21,203.87
2009-10-22,203.53
2009-10-23,206.09
2009-10-27,203.18
2009-10-28,199.66
2009-10-29,196.76
2009-10-30,199.21
2009-11-02,198.53
2009-11-03,194.61
2009-11-04,200.67
2009-11-05,200.16
2009-11-06,203.79
2009-11-09,205.77
2009-11-10,207.27
2009-11-11,208.89
2009-11-12,205.6
2009-11-13,208.13
2009-11-16,211.15
2009-11-17,211.7
2009-11-18,210.31
2009-11-19,207.97
2009-11-20,206.4
2009-11-23,210.32
2009-11-24,208.36
2009-11-25,208.11
2009-11-26,204.63
2009-11-27,199.81
2009-11-30,202.73
2009-12-01,208.62
2009-12-02,209.74
2009-12-03,210.53
2009-12-04,209.11
2009-12-07,208.18
2009-12-08,207.88
2009-12-09,205.54
2009-12-10,205.71
2009-12-11,205.39
2009-12-14,205.06
2009-12-15,198.63
2009-12-16,198.28
2009-12-17,195.52
2009-12-18,193.83
2009-12-21,192.89
2009-12-22,194.65
2009-12-23,197.1
2009-12-28,198.67
2009-12-29,198.44
2009-12-30,197.45
2009-12-31,199.78
2010-01-04,202.26
2010-01-05,205.32
2010-01-06,205.02
2010-01-07,202.83
2010-01-08,204.95
2010-01-11,205.93
2010-01-12,204.44
2010-01-13,201.21
2010-01-14,200.81
2010-01-15,200.44
2010-01-18,200.57
2010-01-19,201.59
2010-01-20,200.58
2010-01-21,195.47
2010-01-22,194.26
2010-01-25,194.72
2010-01-26,187.13
2010-01-27,185.57
2010-01-28,189.0
2010-01-29,189.37
2010-02-01,189.22
2010-02-02,190.55
2010-02-03,193.38
2010-02-04,191.03
2010-02-05,182.91
2010-02-08,183.5
2010-02-09,185.8
2010-02-10,187.83
2010-02-11,188.4
2010-02-12,188.27
2010-02-17,191.39
2010-02-18,190.12
2010-02-19,186.82
2010-02-22,188.79
2010-02-23,190.43
2010-02-24,190.21
2010-02-25,190.74
2010-02-26,190.72
2010-03-01,193.98
2010-03-02,196.4
2010-03-03,195.79
2010-03-04,194.45
2010-03-05,195.32
2010-03-08,198.35
2010-03-09,198.72
2010-03-10,200.67
2010-03-11,200.51
2010-03-12,199.69
2010-03-15,197.82
2010-03-16,198.54
2010-03-17,201.9
2010-03-18,201.4
2010-03-19,201.99
2010-03-22,198.87
2010-03-23,199.48
2010-03-24,198.91
2010-03-25,197.71
2010-03-26,200.17
2010-03-29,200.52
2010-03-30,202.82
2010-03-31,202.19
2010-04-01,205.47
2010-04-07,207.32
2010-04-08,207.82
2010-04-09,211.67
2010-04-12,210.31
2010-04-13,208.69
2010-04-14,208.96
2010-04-15,208.52
2010-04-16,206.4
2010-04-19,201.34
2010-04-20,204.73
2010-04-21,203.81
2010-04-22,204.38
2010-04-23,203.51
2010-04-26,204.32
2010-04-27,203.15
2010-04-28,200.33
2010-04-29,199.7
2010-04-30,202.1
2010-05-03,200.69
2010-05-04,199.76
2010-05-05,196.84
2010-05-06,194.14
2010-05-07,190.21
2010-05-10,196.22
2010-05-11,191.59
2010-05-12,193.61
2010-05-14,192.29
2010-05-17,190.48
2010-05-18,189.67
2010-05-19,186.37
2010-05-20,185.14
2010-05-25,179.65
2010-05-26,183.07
2010-05-27,187.04
2010-05-28,191.75
2010-05-31,190.73
2010-06-01,187.42
2010-06-02,188.15
2010-06-03,191.84
2010-06-04,192.26
2010-06-07,185.38
2010-06-08,185.28
2010-06-09,185.81
2010-06-10,188.27
2010-06-11,188.74
2010-06-14,191.2
2010-06-15,191.61
2010-06-17,193.47
2010-06-18,194.73
2010-06-21,200.05
2010-06-22,198.95
2010-06-24,197.53
2010-06-25,197.63
2010-06-28,198.34
2010-06-29,194.02
2010-06-30,193.11
2010-07-02,192.26
2010-07-05,190.7
2010-07-06,193.06
2010-07-07,192.55
2010-07-08,194.52
2010-07-09,198.07
2010-07-12,199.61
2010-07-13,199.96
2010-07-14,199.93
2010-07-15,196.83
2010-07-16,196.95
2010-07-19,195.49
2010-07-20,197.99
2010-07-21,198.99
2010-07-22,201.46
2010-07-23,202.26
2010-07-26,201.98
2010-07-27,203.55
2010-07-28,205.41
2010-07-29,207.09
2010-07-30,205.4
2010-08-02,208.79
2010-08-03,208.14
2010-08-04,208.39
2010-08-05,209.1
2010-08-06,210.15
2010-08-09,211.12
2010-08-10,208.09
2010-08-11,207.15
2010-08-12,204.47
2010-08-13,206.88
2010-08-16,205.98
2010-08-17,206.91
2010-08-18,206.11
2010-08-19,207.5
2010-08-20,207.04
2010-08-23,206.44
2010-08-24,203.43
2010-08-25,202.14
2010-08-26,202.09
2010-08-27,201.59
2010-08-30,203.34
2010-08-31,202.47
2010-09-01,205.09
2010-09-02,206.14
2010-09-03,208.44
2010-09-06,210.23
2010-09-07,210.68
2010-09-08,208.38
2010-09-09,212.1
2010-09-10,211.9
2010-09-13,216.24
2010-09-14,216.57
2010-09-15,218.09
2010-09-16,217.38
2010-09-17,222.45
2010-09-20,222.65
2010-09-21,223.1
2010-09-22,224.06
2010-09-24,224.99
2010-09-27,225.07
2010-09-28,224.65
2010-09-29,227.14
2010-09-30,229.1
2010-10-04,231.76
2010-10-05,232.06
2010-10-06,233.52
2010-10-07,234.46
2010-10-08,232.7
2010-10-11,236.62
2010-10-12,235.16
2010-10-13,239.62
2010-10-14,242.55
2010-10-15,241.04
2010-10-18,240.22
2010-10-19,243.12
2010-10-20,241.94
2010-10-21,244.56
2010-10-22,242.37
2010-10-25,245.21
2010-10-26,244.07
2010-10-27,239.34
2010-10-28,239.48
2010-10-29,239.11
2010-11-02,248.01
2010-11-03,251.69
2010-11-04,256.17
2010-11-05,255.85
2010-11-08,258.46
2010-11-09,258.74
2010-11-10,257.03
2010-11-11,257.34
2010-11-12,253.38
2010-11-15,249.79
2010-11-16,247.32
2010-11-17,242.82
2010-11-18,248.99
2010-11-19,249.38
2010-11-22,250.11
2010-11-23,244.39
2010-11-24,243.36
2010-11-25,244.89
2010-11-26,242.08
2010-11-29,246.33
2010-11-30,244.85
2010-12-01,249.0
2010-12-02,250.73
2010-12-03,249.6
2010-12-06,248.07
2010-12-07,251.32
2010-12-08,248.99
2010-12-09,247.04
2010-12-10,246.9
2010-12-13,247.58
2010-12-14,248.75
2010-12-15,244.67
2010-12-16,240.34
2010-12-17,240.71
2010-12-20,239.7
2010-12-21,240.71
2010-12-22,242.17
2010-12-23,241.04
2010-12-28,237.96
2010-12-29,240.78
2010-12-30,241.21
2010-12-31,243.16
2011-01-03,247.4
2011-01-04,252.16
2011-01-05,251.9
2011-01-06,252.67
2011-01-07,251.12
2011-01-10,249.35
2011-01-11,250.69
2011-01-12,253.29
2011-01-13,253.72
2011-01-14,253.25
2011-01-17,251.65
2011-01-18,252.1
2011-01-19,253.01
2011-01-20,250.1
2011-01-21,247.64
2011-01-24,244.81
2011-01-25,244.98
2011-01-26,246.89
2011-01-27,245.83
2011-01-28,245.0
2011-01-31,242.06
2011-02-01,243.3
2011-02-02,247.24
2011-02-07,244.99
2011-02-08,242.78
2011-02-09,239.24
2011-02-10,233.94
2011-02-11,234.96
2011-02-14,238.05
2011-02-15,237.04
2011-02-16,238.9
2011-02-17,239.35
2011-02-18,241.38
2011-02-21,240.66
2011-02-22,234.96
2011-02-23,232.64
2011-02-24,230.25
2011-02-25,232.09
2011-02-28,234.72
2011-03-01,238.4
2011-03-02,235.72
2011-03-03,237.18
2011-03-04,240.64
2011-03-07,241.39
2011-03-08,242.11
2011-03-09,242.73
2011-03-10,241.44
2011-03-11,236.67
2011-03-14,236.65
2011-03-15,228.38
2011-03-16,232.38
2011-03-17,229.17
2011-03-18,229.75
2011-03-21,234.39
2011-03-22,237.1
2011-03-23,236.38
2011-03-24,237.06
2011-03-25,236.75
2011-03-28,235.07
2011-03-29,235.43
2011-03-30,237.34
2011-03-31,240.42
2011-04-01,242.4
2011-04-04,245.66
2011-04-06,246.1
2011-04-07,246.67
2011-04-08,247.38
2011-04-11,247.19
2011-04-12,243.21
2011-04-13,245.58
2011-04-14,244.95
2011-04-15,245.56
2011-04-18,242.78
2011-04-19,241.58
2011-04-20,244.83
2011-04-21,246.35
2011-04-26,245.01
2011-04-27,244.35
2011-04-28,243.91
2011-04-29,243.46
2011-05-03,242.08
2011-05-04,239.64
2011-05-05,237.89
2011-05-06,237.6
2011-05-09,238.88
2011-05-11,241.18
2011-05-12,238.42
2011-05-13,241.63
2011-05-16,237.18
2011-05-17,237.31
2011-05-18,238.53
2011-05-19,240.34
2011-05-20,239.65
2011-05-23,234.54
2011-05-24,235.27
2011-05-25,235.82
2011-05-26,235.91
2011-05-27,237.92
2011-05-30,239.69
2011-05-31,242.56
2011-06-01,242.78
2011-06-03,239.21
2011-06-07,239.51
2011-06-08,236.34
2011-06-09,234.84
2011-06-10,233.55
2011-06-14,233.46
2011-06-15,232.45
2011-06-16,230.4
2011-06-17,227.79
2011-06-20,226.37
2011-06-21,228.83
2011-06-22,228.13
2011-06-24,231.79
2011-06-27,230.79
2011-06-28,229.69
2011-06-29,231.63
2011-06-30,234.81
2011-07-04,238.92
2011-07-05,238.53
2011-07-06,230.5
2011-07-07,230.87
2011-07-08,232.77
2011-07-11,227.93
2011-07-12,221.0
2011-07-13,223.75
2011-07-14,226.19
2011-07-15,223.83
2011-07-18,223.09
2011-07-19,221.95
