date,nav
2015-07-15,9.81
2015-07-16,9.85
2015-07-17,9.87
2015-07-21,9.92
2015-07-22,9.83
2015-07-23,9.85
2015-07-24,9.75
2015-07-27,9.55
2015-07-28,9.59
2015-07-29,9.6
2015-07-30,9.71
2015-07-31,9.8
2015-08-03,9.85
2015-08-04,9.86
2015-08-05,10.0
2015-08-06,10.0
2015-08-07,10.02
2015-08-10,10.03
2015-08-11,10.08
2015-08-12,9.87
2015-08-13,9.95
2015-08-14,9.92
2015-08-17,9.95
2015-08-18,9.97
2015-08-19,9.87
2015-08-20,9.68
2015-08-21,9.37
2015-08-24,8.33
2015-08-25,8.8
2015-08-26,8.8
2015-08-27,9.03
2015-08-28,9.23
2015-08-31,9.12
2015-09-01,8.8
2015-09-02,8.67
2015-09-03,8.72
2015-09-04,8.55
2015-09-07,8.65
2015-09-08,8.74
2015-09-09,9.1
2015-09-10,8.99
2015-09-11,8.83
2015-09-14,8.83
2015-09-15,8.79
2015-09-16,9.0
2015-09-17,9.03
2015-09-18,8.67
2015-09-24,8.41
2015-09-25,8.81
2015-09-28,8.55
2015-09-29,8.31
2015-09-30,8.41
2015-10-01,8.52
2015-10-02,8.48
2015-10-05,8.94
2015-10-06,8.98
2015-10-07,9.1
2015-10-08,9.12
2015-10-09,9.33
2015-10-13,9.25
2015-10-14,8.98
2015-10-15,9.14
2015-10-16,9.27
2015-10-19,9.17
2015-10-20,9.25
2015-10-21,9.42
2015-10-22,9.5
2015-10-23,9.68
2015-10-26,9.63
2015-10-27,9.49
2015-10-28,9.46
2015-10-29,9.46
2015-10-30,9.41
2015-11-02,9.31
2015-11-04,9.33
2015-11-05,9.42
2015-11-06,9.5
2015-11-09,9.66
2015-11-10,9.68
2015-11-11,9.69
2015-11-12,9.59
2015-11-13,9.61
2015-11-16,9.58
2015-11-17,9.6
2015-11-18,9.64
2015-11-19,9.78
2015-11-20,9.75
2015-11-24,9.77
2015-11-25,9.67
2015-11-26,9.73
2015-11-27,9.7
2015-11-30,9.61
2015-12-01,9.72
2015-12-02,9.72
2015-12-03,9.75
2015-12-04,9.56
2015-12-07,9.62
2015-12-08,9.4
2015-12-09,9.41
2015-12-10,9.3
2015-12-11,9.11
2015-12-14,9.17
2015-12-15,9.17
2015-12-16,9.29
2015-12-17,9.41
2015-12-18,9.19
2015-12-21,9.1
2015-12-22,9.06
2015-12-28,9.1
2015-12-29,9.21
2015-12-30,9.23
2016-01-04,8.85
2016-01-05,9.0
2016-01-06,8.78
2016-01-07,8.6
2016-01-08,8.57
2016-01-12,8.43
2016-01-13,8.54
2016-01-14,8.4
2016-01-15,8.22
2016-01-18,8.3
2016-01-19,8.35
2016-01-20,7.96
2016-01-21,7.83
2016-01-22,8.24
2016-01-25,8.27
2016-01-26,8.14
2016-01-27,8.29
2016-01-28,8.22
2016-01-29,8.42
2016-02-01,8.37
2016-02-02,8.3
2016-02-03,7.97
2016-02-04,7.95
2016-02-05,7.98
2016-02-08,7.75
2016-02-09,7.45
2016-02-10,7.34
2016-02-12,6.9
2016-02-15,7.35
2016-02-16,7.39
2016-02-17,7.47
2016-02-18,7.53
2016-02-19,7.33
2016-02-22,7.46
2016-02-23,7.4
2016-02-24,7.21
2016-02-25,7.5
2016-02-26,7.6
2016-02-29,7.41
2016-03-01,7.47
2016-03-02,7.71
2016-03-03,7.9
2016-03-04,8.06
2016-03-07,7.94
2016-03-08,7.88
2016-03-09,7.79
2016-03-10,7.92
2016-03-11,8.02
2016-03-14,8.16
2016-03-15,7.98
2016-03-16,7.98
2016-03-17,7.87
2016-03-18,7.89
2016-03-22,8.0
2016-03-23,7.92
2016-03-24,7.8
2016-03-29,8.03
2016-03-30,7.93
2016-03-31,7.89
2016-04-01,7.63
2016-04-04,7.62
2016-04-05,7.41
2016-04-06,7.36
2016-04-07,7.31
2016-04-08,7.51
2016-04-11,7.47
2016-04-12,7.66
2016-04-13,7.99
2016-04-14,8.04
2016-04-15,8.01
2016-04-18,7.98
2016-04-19,8.21
2016-04-20,8.22
2016-04-21,8.25
2016-04-22,8.5
2016-04-25,8.44
2016-04-26,8.33
2016-04-27,8.28
2016-04-28,7.92
2016-05-02,7.64
2016-05-06,7.54
2016-05-09,7.72
2016-05-10,7.79
2016-05-11,7.8
2016-05-12,7.82
2016-05-13,7.68
2016-05-17,7.85
2016-05-18,7.89
2016-05-19,7.79
2016-05-20,7.92
2016-05-23,7.94
2016-05-24,7.95
2016-05-25,8.06
2016-05-26,8.0
2016-05-27,8.1
2016-05-30,8.2
2016-05-31,8.27
2016-06-01,8.1
2016-06-02,7.98
2016-06-03,7.8
2016-06-06,7.87
2016-06-07,7.95
2016-06-10,7.72
2016-06-13,7.52
2016-06-14,7.44
2016-06-15,7.51
2016-06-16,7.31
2016-06-17,7.41
2016-06-20,7.61
2016-06-21,7.66
2016-06-22,7.57
2016-06-24,7.29
2016-06-27,6.96
2016-06-28,7.08
2016-06-29,7.21
2016-06-30,7.15
2016-07-01,7.18
2016-07-04,7.19
2016-07-05,7.04
2016-07-06,6.85
2016-07-07,6.89
2016-07-08,6.91
2016-07-11,7.22
2016-07-12,7.57
2016-07-13,7.56
2016-07-14,7.73
2016-07-15,7.73
2016-07-19,7.83
2016-07-20,7.77
2016-07-21,7.83
2016-07-22,7.82
2016-08-01,7.65
2016-08-02,7.48
2016-08-03,7.41
2016-08-04,7.63
2016-08-05,7.75
2016-08-08,7.87
2016-08-09,7.92
2016-08-10,7.88
2016-08-12,7.93
2016-08-16,7.8
2016-08-17,7.92
2016-08-18,7.9
2016-08-19,8.01
2016-08-22,8.04
2016-08-23,7.91
2016-08-24,7.99
2016-08-25,8.0
2016-08-26,7.92
2016-08-29,8.14
2016-08-30,8.18
2016-08-31,8.33
2016-09-01,8.38
2016-09-02,8.48
2016-09-05,8.44
2016-09-06,8.47
2016-09-07,8.37
2016-09-08,8.35
2016-09-09,8.39
2016-09-12,8.25
2016-09-13,8.22
2016-09-14,8.15
2016-09-15,8.04
2016-09-16,8.05
2016-09-20,8.13
2016-09-21,8.31
2016-09-23,8.31
2016-09-26,8.14
2016-09-27,8.26
2016-09-28,8.19
2016-09-29,8.33
2016-09-30,8.2
2016-10-03,8.22
2016-10-04,8.36
2016-10-05,8.41
2016-10-06,8.48
2016-10-07,8.5
2016-10-11,8.54
2016-10-12,8.42
2016-10-13,8.42
2016-10-14,8.46
2016-10-17,8.51
2016-10-18,8.54
2016-10-19,8.53
2016-10-20,8.65
2016-10-21,8.65
2016-10-24,8.73
2016-10-25,8.71
2016-10-26,8.73
2016-10-27,8.73
2016-10-28,8.82
2016-10-31,8.87
2016-11-02,8.72
2016-11-04,8.6
2016-11-07,8.75
2016-11-08,8.79
2016-11-09,8.75
2016-11-10,9.02
2016-11-11,9.07
2016-11-14,9.25
2016-11-15,9.29
2016-11-16,9.44
2016-11-17,9.43
2016-11-18,9.47
2016-11-21,9.58
2016-11-22,9.59
2016-11-24,9.72
2016-11-25,9.74
2016-11-28,9.78
2016-11-29,9.76
2016-11-30,9.91
2016-12-01,9.93
2016-12-02,10.03
2016-12-05,10.08
2016-12-06,10.1
2016-12-07,10.27
2016-12-08,10.45
2016-12-09,10.63
2016-12-12,10.47
2016-12-13,10.47
2016-12-14,10.49
2016-12-15,10.65
2016-12-16,10.63
2016-12-19,10.55
2016-12-20,10.61
2016-12-21,10.51
2016-12-22,10.52
2016-12-27,10.44
2016-12-28,10.43
2016-12-29,10.26
2016-12-30,10.28
2017-01-04,10.54
2017-01-05,10.55
2017-01-06,10.48
2017-01-10,10.45
2017-01-11,10.57
2017-01-12,10.46
2017-01-13,10.5
2017-01-16,10.42
2017-01-17,10.26
2017-01-18,10.33
2017-01-19,10.42
2017-01-20,10.59
2017-01-23,10.4
2017-01-24,10.3
2017-01-25,10.57
2017-01-26,10.78
2017-01-27,10.69
2017-01-30,10.52
2017-01-31,10.25
2017-02-01,10.47
2017-02-02,10.28
2017-02-03,10.33
2017-02-06,10.42
2017-02-07,10.45
2017-02-08,10.58
2017-02-09,10.41
2017-02-10,10.68
2017-02-13,10.76
2017-02-14,10.66
2017-02-15,10.8
2017-02-16,10.79
2017-02-17,10.6
2017-02-20,10.7
2017-02-21,10.78
2017-02-22,10.84
2017-02-23,10.79
2017-02-24,10.72
2017-02-27,10.54
2017-02-28,10.55
2017-03-01,10.82
2017-03-02,10.79
2017-03-03,10.75
2017-03-06,10.72
2017-03-07,10.72
2017-03-08,10.78
2017-03-09,10.75
2017-03-10,10.87
2017-03-13,10.86
2017-03-14,10.85
2017-03-15,10.82
2017-03-16,10.83
2017-03-17,10.74
2017-03-21,10.61
2017-03-22,10.4
2017-03-23,10.41
2017-03-24,10.49
2017-03-27,10.35
2017-03-28,10.5
2017-03-29,10.55
2017-03-30,10.46
2017-03-31,10.36
2017-04-03,10.34
2017-04-04,10.21
2017-04-05,10.3
2017-04-06,10.14
2017-04-07,10.13
2017-04-10,10.26
2017-04-11,10.22
2017-04-12,10.09
2017-04-13,10.01
2017-04-18,10.06
2017-04-19,10.05
2017-04-20,10.09
2017-04-21,10.24
2017-04-24,10.32
2017-04-25,10.44
2017-04-26,10.64
2017-04-27,10.63
2017-04-28,10.57
2017-05-02,10.67
2017-05-08,10.88
2017-05-09,10.92
2017-05-10,10.87
2017-05-11,10.85
2017-05-12,10.78
2017-05-15,10.86
2017-05-16,10.87
2017-05-17,10.62
2017-05-18,10.58
2017-05-19,10.65
2017-05-22,10.71
2017-05-23,10.67
2017-05-24,10.76
2017-05-26,10.69
2017-05-29,10.67
2017-05-30,10.69
2017-05-31,10.66
2017-06-01,10.77
