date,nav
2023-01-02,48.3
2023-01-03,48.3
2023-01-04,48.54
2023-01-05,48.12
2023-01-06,47.61
2023-01-09,50.18
2023-01-10,49.92
2023-01-11,50.41
2023-01-12,50.43
2023-01-13,51.08
2023-01-16,51.69
2023-01-17,51.79
2023-01-18,52.48
2023-01-19,51.09
2023-01-20,51.29
2023-01-23,52.84
2023-01-24,53.25
2023-01-25,51.97
2023-01-26,53.52
2023-01-27,54.17
2023-01-30,53.87
2023-01-31,53.24
2023-02-01,54.23
2023-02-02,56.57
2023-02-03,56.49
2023-02-06,55.61
2023-02-07,55.31
2023-02-08,56.33
2023-02-09,56.55
2023-02-10,54.95
2023-02-13,55.35
2023-02-14,56.02
2023-02-15,55.88
2023-02-16,56.05
2023-02-17,54.82
2023-02-20,54.94
2023-02-21,54.23
2023-02-22,53.68
2023-02-23,54.49
2023-02-24,53.4
2023-02-27,54.05
2023-02-28,53.83
2023-03-01,54.03
2023-03-02,53.24
2023-03-03,54.61
2023-03-06,55.42
2023-03-07,55.16
2023-03-08,54.47
2023-03-09,55.12
2023-03-10,52.82
2023-03-13,52.72
2023-03-14,53.68
2023-03-15,53.02
2023-03-16,54.07
2023-03-17,54.63
2023-03-20,54.66
2023-03-21,55.03
2023-03-22,55.81
2023-03-23,56.57
2023-03-24,55.3
2023-03-27,55.76
2023-03-28,54.87
2023-03-29,55.87
2023-03-30,56.81
2023-03-31,57.06
2023-04-03,57.22
2023-04-04,57.42
2023-04-05,56.47
2023-04-06,55.61
2023-04-11,56.45
2023-04-12,56.22
2023-04-13,56.24
2023-04-14,56.88
2023-04-17,56.41
2023-04-18,56.91
2023-04-19,56.1
2023-04-20,56.17
2023-04-21,55.67
2023-04-24,56.0
2023-04-25,55.14
2023-04-26,55.03
2023-04-27,54.63
2023-04-28,55.27
2023-05-02,55.73
2023-05-03,55.27
2023-05-04,54.92
2023-05-05,55.31
2023-05-08,55.68
2023-05-10,56.17
2023-05-11,56.04
2023-05-12,56.34
2023-05-15,56.1
2023-05-16,56.74
2023-05-17,56.67
2023-05-19,58.66
2023-05-22,58.97
2023-05-23,58.76
2023-05-24,57.47
2023-05-25,59.19
2023-05-26,60.55
2023-05-30,61.92
2023-05-31,61.3
2023-06-01,61.08
2023-06-02,61.9
2023-06-05,62.01
2023-06-06,62.11
2023-06-07,62.53
2023-06-08,61.34
2023-06-09,62.64
2023-06-12,62.76
2023-06-13,63.82
2023-06-14,64.08
2023-06-15,64.24
2023-06-16,64.89
2023-06-19,64.43
2023-06-20,64.27
2023-06-21,63.65
2023-06-22,63.29
2023-06-26,63.48
2023-06-27,62.69
2023-06-28,63.42
2023-06-29,63.53
2023-06-30,64.39
2023-07-03,64.69
2023-07-04,64.65
2023-07-05,64.55
2023-07-06,63.44
2023-07-07,63.97
2023-07-10,63.31
2023-07-11,63.82
2023-07-12,65.24
2023-07-13,66.25
2023-07-14,67.24
2023-07-17,66.7
2023-07-18,66.98
2023-07-19,67.93
2023-07-20,66.98
2023-07-21,65.95
2023-07-24,65.34
2023-07-25,66.12
2023-07-26,65.82
2023-07-27,67.01
2023-07-28,66.54
2023-07-31,66.76
2023-08-01,66.51
2023-08-02,65.73
2023-08-03,65.0
2023-08-04,65.06
2023-08-07,64.89
2023-08-08,64.34
2023-08-09,64.17
2023-08-10,64.61
2023-08-11,62.96
2023-08-14,62.96
2023-08-16,63.2
2023-08-17,62.06
2023-08-18,60.76
2023-08-21,62.18
2023-08-22,62.82
2023-08-23,63.22
2023-08-24,63.96
2023-08-25,62.62
2023-08-28,62.86
2023-08-29,63.38
2023-08-30,64.82
2023-08-31,65.53
2023-09-01,65.57
2023-09-04,65.52
2023-09-05,65.09
2023-09-06,65.46
2023-09-07,63.85
2023-09-08,64.45
2023-09-11,64.24
2023-09-12,64.33
2023-09-13,63.84
2023-09-14,63.96
2023-09-15,63.64
2023-09-18,62.99
2023-09-19,62.52
2023-09-20,63.12
2023-09-21,61.0
2023-09-22,61.12
2023-09-25,60.9
2023-09-26,60.37
2023-09-27,60.38
2023-09-28,60.31
2023-09-29,61.76
2023-10-02,61.33
2023-10-03,61.31
2023-10-04,60.68
2023-10-05,60.92
2023-10-06,60.88
2023-10-09,62.03
