rank,category_name,name,moneydj_id,twelve_data_symbol,benchmark,return_1y,benchmark_return_1y,excess_return_1y,momentum_6m,sharpe,max_drawdown,recovery_days,score,signal,quantum_coverage,quantum_exposure,quantum_holdings,holdings_as_of,optical_coverage,optical_exposure,optical_holdings,optical_as_of,memory_coverage,memory_exposure,memory_holdings,memory_as_of,robotics_coverage,robotics_exposure,robotics_holdings,robotics_as_of,status
1,全市場精選 Top 5,👑 ✨ 施羅德台灣樂活中小基金-TISA類型 ✨,,,EWT,216.67,-33.20,249.87,90.32,0.910,,,5.751,買進,,,,,,,,,,,,,,,,,來源分類：台灣；已驗證（活動績效表 2026-08-11；回撤/恢復期資料不足）
2,全市場精選 Top 5,元大多多基金,,,EWT,209.69,-33.20,242.89,73.97,2.140,,,5.693,買進,,,,,,,,,,,,,,,,,來源分類：台灣；已驗證（活動績效表 2026-08-11；回撤/恢復期資料不足）
3,全市場精選 Top 5,統一中小基金,,,EWT,201.12,-33.20,234.32,88.06,2.000,,,5.635,買進,,,,,,,,,,,,,,,,,來源分類：台灣；已驗證（活動績效表 2026-08-11；回撤/恢復期資料不足）
4,全市場精選 Top 5,安聯台灣科技基金,,,EWT,200.68,-33.20,233.88,63.33,2.030,,,5.385,買進,,,,,,,,,,,,,,,,,來源分類：台灣；已驗證（活動績效表 2026-08-11；回撤/恢復期資料不足）
5,全市場精選 Top 5,元大高科技基金,,,EWT,195.69,-33.20,228.89,70.91,0.940,,,5.143,買進,,,,,,,,,,,,,,,,,來源分類：台灣；已驗證（活動績效表 2026-08-11；回撤/恢復期資料不足）
1,台灣,施羅德台灣樂活中小基金-TISA類型,,,EWT,216.67,-33.20,249.87,90.32,0.910,,,5.751,買進,,,,,,,,,,,,,,,,,已驗證（活動績效表 2026-08-11；回撤/恢復期資料不足）
2,台灣,元大多多基金,,,EWT,209.69,-33.20,242.89,73.97,2.140,,,5.693,買進,,,,,,,,,,,,,,,,,已驗證（活動績效表 2026-08-11；回撤/恢復期資料不足）
3,台灣,統一中小基金,,,EWT,201.12,-33.20,234.32,88.06,2.000,,,5.635,買進,,,,,,,,,,,,,,,,,已驗證（活動績效表 2026-08-11；回撤/恢復期資料不足）
4,台灣,安聯台灣科技基金,,,EWT,200.68,-33.20,233.88,63.33,2.030,,,5.385,買進,,,,,,,,,,,,,,,,,已驗證（活動績效表 2026-08-11；回撤/恢復期資料不足）
5,台灣,野村鴻運基金,,,EWT,190.45,-33.20,223.65,66.36,2.020,,,5.209,買進,,,,,,,,,,,,,,,,,已驗證（活動績效表 2026-08-11；回撤/恢復期資料不足）
6,台灣,元大經貿基金,,,EWT,186.31,-33.20,219.51,74.19,2.020,,,5.204,買進,,,,,,,,,,,,,,,,,已驗證（活動績效表 2026-08-11；回撤/恢復期資料不足）
7,台灣,元大高科技基金,,,EWT,195.69,-33.20,228.89,70.91,0.940,,,5.143,買進,,,,,,,,,,,,,,,,,已驗證（活動績效表 2026-08-11；回撤/恢復期資料不足）
8,台灣,街口中小型基金,,,EWT,193.07,-33.20,226.27,50.58,2.110,,,5.121,買進,,,,,,,,,,,,,,,,,已驗證（活動績效表 2026-08-11；回撤/恢復期資料不足）
9,台灣,統一龍馬基金,,,EWT,184.99,-33.20,218.19,84.69,0.990,,,5.077,買進,,,,,,,,,,,,,,,,,已驗證（活動績效表 2026-08-11；回撤/恢復期資料不足）
10,台灣,野村台灣運籌基金,,,EWT,189.50,-33.20,222.70,65.93,0.990,,,4.979,買進,,,,,,,,,,,,,,,,,已驗證（活動績效表 2026-08-11；回撤/恢復期資料不足）
