category,fund_code,name,as_of_date,nav,currency,region,target,return_1y,momentum_6m,sharpe,source_sheet
usa,,Proshares 二倍放空S&P500指數SDS.US,2026-08-11,53.74,美元,美國,市場指數,270.11,-18.45,0.27,淨值+報酬率
korea,,iShares MSCI南韓指數EWY.US,2026-08-11,167.24,美元,韓國,市場指數,-28.62,-7.91,0.59,淨值+報酬率
korea,,利安資金韓國基金(美元),2026-08-07,2.734,美元,韓國,股票型,133.08,46.67,0.52,淨值+報酬率
korea,,利安資金韓國基金(新元),2026-08-07,3.497,新幣,韓國,股票型,131.74,47.49,0.53,淨值+報酬率
korea,,霸菱韓國基金-A類美元累積型,2026-08-11,56.89,美元,韓國,股票型,-31.25,-8.75,0.6,淨值+報酬率
korea,,摩根南韓基金數位級別(美元)(累計),2026-08-11,24.31,美元,韓國,股票型,91.72,19.11,0.57,淨值+報酬率
korea,,摩根南韓基金,2026-08-11,164.03,美元,韓國,股票型,-28.52,-8.61,0.57,淨值+報酬率
healthcare,,富蘭克林坦伯頓全球投資系列生技領航基金美元A(acc),2026-08-11,72.42,美元,全球,生物科技,79.26,20.9,0.83,淨值+報酬率
healthcare,,富蘭克林坦伯頓全球投資系列生技領航基金美元F(acc),2026-08-11,22.39,美元,全球,生物科技,77.42,20.31,0.81,淨值+報酬率
healthcare,,百達-生物科技-I美元,2026-08-11,1977.01,美元,全球,生物科技,76.22,23.27,0.71,淨值+報酬率
japan,,摩根太平洋科技基金數位級別(美元)(累計),2026-08-11,22.67,美元,太平洋地區(含日本),資訊科技股,76.01,33.98,0.66,淨值+報酬率
healthcare,,百達-生物科技-HR南非幣月配息(基金之配息來源可能為本金),2026-08-11,11760.51,南非幣,全球,生物科技,75.81,22.9,0.7,淨值+報酬率
taiwan,,iShares MSCI 台灣指數EWT.US,2026-08-11,103.94,美元,台灣,市場指數,-33.2,-20.87,0.63,淨值+報酬率
japan,,摩根太平洋科技基金,2026-08-11,179.76,美元,太平洋地區(含日本),資訊科技股,-35.96,-9.79,0.65,淨值+報酬率
healthcare,,百達-生物科技-R歐元,2026-08-11,1175.7,歐元,全球,生物科技,74.55,25.65,0.68,淨值+報酬率
healthcare,,百達-生物科技-R美元,2026-08-11,1357.39,美元,全球,生物科技,73.43,22.3,0.69,淨值+報酬率
healthcare,,富蘭克林坦伯頓全球投資系列生技領航基金日圓避險A(acc)-H1,2026-08-11,1795.85,日圓,全球,生物科技,73.16,18.97,0.78,淨值+報酬率
healthcare,,百達-生物科技-HR澳幣,2026-08-11,1277.88,澳幣,全球,生物科技,72.19,22.03,0.68,淨值+報酬率
healthcare,,富蘭克林坦伯頓全球投資系列生技領航基金日圓避險F(acc)-H1,2026-08-11,1767.53,日圓,全球,生物科技,71.23,18.32,0.76,淨值+報酬率
healthcare,,百達-生物科技-HR歐元,2026-08-11,785.21,歐元,全球,生物科技,69.56,20.98,0.66,淨值+報酬率
japan,,瀚亞投資-日本動力股票基金Az(南非幣避險),2026-08-10,60.883,南非幣,日本,股票型,63.58,17.87,1.02,淨值+報酬率
japan,,安聯亞洲不含中國股票基金-IT累積類股(美元),2026-08-11,3415.83,美元,亞太不含日本,股票型,62.83,27.79,0.55,淨值+報酬率
japan,,安聯亞洲不含中國股票基金-A配息類股(美元)(基金之配息來源可能為本金),2026-08-11,133.9831,美元,亞太不含日本,股票型,61.18,27.16,0.54,淨值+報酬率
japan,,瀚亞投資-日本動力股票基金A(美元避險),2026-08-10,63.887,美元,日本,股票型,61.04,17.2,1.0,淨值+報酬率
japan,,瀚亞投資-日本動力股票基金Aa(澳幣避險),2026-08-10,38.243,澳幣,日本,股票型,60.05,16.96,0.98,淨值+報酬率
japan,,瀚亞投資-日本動力股票基金T3(美元避險後收),2026-08-10,26.955,美元,日本,股票型,59.42,16.62,0.98,淨值+報酬率
japan,,富達基金-亞洲成長趨勢基金(Y股累計美元),2026-08-11,44.91,美元,亞洲不含日本,股票型,58.86,21.15,0.59,淨值+報酬率
japan,,富達基金-亞洲成長趨勢基金(A股累計歐元),2026-08-11,71.09,歐元,亞洲不含日本,股票型,58.4,24.22,0.6,淨值+報酬率
japan,,富達基金-亞洲成長趨勢基金(A股美元),2026-08-11,95.23,美元,亞洲不含日本,股票型,57.51,20.65,0.58,淨值+報酬率
japan,,富達基金-亞洲成長趨勢基金(A股累計美元),2026-08-11,50.48,美元,亞洲不含日本,股票型,57.5,20.65,0.57,淨值+報酬率
japan,,瀚亞投資-日本動力股票基金Aj(日圓),2026-08-10,4399.0,日圓,日本,股票型,56.33,15.61,0.93,淨值+報酬率
healthcare,,瑞銀(盧森堡)生化股票基金(美元),2026-08-10,1058.46,美元,全球,生物科技,54.61,15.87,0.77,淨值+報酬率
japan,,野村基金(愛爾蘭系列)-亞洲(日本除外)精選核心股票基金(I美元類股),2026-08-11,362.3491,美元,亞洲不含日本,股票型,54.25,12.31,0.57,淨值+報酬率
japan,,野村基金(愛爾蘭系列)-亞洲(日本除外)精選核心股票基金(TI美元類股),2026-08-11,171.323,美元,亞洲不含日本,股票型,53.9,12.19,0.56,淨值+報酬率
japan,,野村基金(愛爾蘭系列)-亞洲(日本除外)精選核心股票基金(B美元類股),2026-08-11,166.0987,美元,亞洲不含日本,股票型,52.41,11.58,0.55,淨值+報酬率
japan,,安本基金-日本永續股票基金X累積美元避險,2026-08-11,36.3544,美元,日本,股票型,52.1,15.03,1.05,淨值+報酬率
healthcare,,iShares那斯達克生技指數IBB.US,2026-08-11,199.74,美元,美國,市場指數,52.0,15.76,0.78,淨值+報酬率
japan,,安本基金-日本永續股票基金A累積美元避險,2026-08-11,43.6149,美元,日本,股票型,51.01,14.6,1.03,淨值+報酬率
japan,,法巴日本股票基金H(美元),2026-08-10,434.24,美元,日本,股票型,50.13,12.37,1.05,淨值+報酬率
japan,,聯博-亞洲股票基金AD月配南非幣避險級別(基金之配息來源可能為本金),2026-08-11,143.71,南非幣,亞洲不含日本,股票型,49.71,8.47,0.63,淨值+報酬率
japan,,法巴日本小型股票基金H(美元),2026-08-10,695.55,美元,日本,中小型股,49.56,13.34,1.04,淨值+報酬率
japan,,安聯亞太高息股票基金-AM穩定月收類股(歐元)(本基金之配息來源可能為本金且無保證收益及配息),2026-08-11,15.6032,歐元,亞洲不含日本,股票型,49.35,21.29,0.73,淨值+報酬率
japan,,聯博-亞洲股票基金S1級別美元(基金之配息來源可能為本金),2026-08-11,49.76,美元,亞洲不含日本,股票型,49.34,8.39,0.62,淨值+報酬率
healthcare,,摩根基金-基因治療主題基金A股(美元)(累計),2026-08-11,130.88,美元,全球,健康護理股,49.29,14.1,0.63,淨值+報酬率
japan,,安聯亞太高息股票基金-A配息類股(歐元)(本基金之配息來源可能為本金且無保證收益及配息),2026-08-11,223.55,歐元,亞洲不含日本,股票型,49.24,21.22,0.73,淨值+報酬率
japan,,聯博-亞洲股票基金I級別美元(基金之配息來源可能為本金),2026-08-11,48.47,美元,亞洲不含日本,股票型,49.14,8.31,0.62,淨值+報酬率
japan,,法巴亞洲(日本除外)股票基金/年配 (歐元)(基金之配息來源可能為本金，本基金非屬環境、社會、治理相關主題基金),2026-08-11,615.26,歐元,亞洲不含日本,股票型,48.94,23.39,0.57,淨值+報酬率
japan,,法巴亞洲(日本除外)股票基金 C (歐元)(本基金非屬環境、社會、治理相關主題基金),2026-08-11,1138.86,歐元,亞洲不含日本,股票型,48.86,23.36,0.57,淨值+報酬率
japan,,聯博-亞洲股票基金A級別歐元(基金之配息來源可能為本金),2026-08-11,36.68,歐元,亞洲不含日本,股票型,48.74,10.92,0.63,淨值+報酬率
japan,,聯博-亞洲股票基金AD級別歐元(基金之配息來源可能為本金),2026-08-11,20.08,歐元,亞洲不含日本,股票型,48.72,10.95,0.63,淨值+報酬率
japan,,法巴亞洲(日本除外)股票基金 C (美元)(本基金非屬環境、社會、治理相關主題基金),2026-08-11,258.19,美元,亞洲不含日本,股票型,48.35,20.07,0.55,淨值+報酬率
japan,,駿利亨德森遠見基金-日本小型公司基金I2美元避險,2026-08-11,212.97,美元,日本,中小型股,48.34,17.39,1.14,淨值+報酬率
japan,,法巴亞洲(日本除外)股票基金/月配 (美元)(基金之配息來源可能為本金，本基金非屬環境、社會、治理相關主題基金),2026-08-11,154.66,美元,亞洲不含日本,股票型,48.33,20.07,0.55,淨值+報酬率
japan,,富蘭克林坦伯頓全球投資系列亞洲成長基金美元A(acc),2026-08-11,61.61,美元,亞太不含日本,股票型,48.28,16.6,0.57,淨值+報酬率
japan,,富蘭克林坦伯頓全球投資系列亞洲成長基金美元A(Ydis),2026-08-11,55.96,美元,亞太不含日本,股票型,48.28,16.61,0.57,淨值+報酬率
japan,,聯博-亞洲股票基金AD級別美元(基金之配息來源可能為本金),2026-08-11,22.82,美元,亞洲不含日本,股票型,47.97,7.88,0.61,淨值+報酬率
japan,,聯博-亞洲股票基金A級別美元(基金之配息來源可能為本金),2026-08-11,42.37,美元,亞洲不含日本,股票型,47.89,7.84,0.6,淨值+報酬率
japan,,安聯亞太高息股票基金-AM穩定月收類股(美元)(本基金之配息來源可能為本金且無保證收益及配息),2026-08-11,12.3136,美元,亞洲不含日本,股票型,47.79,17.35,0.65,淨值+報酬率
japan,,駿利亨德森遠見基金-日本小型公司基金A2美元避險,2026-08-11,130.45,美元,日本,中小型股,47.42,17.17,1.13,淨值+報酬率
japan,,安聯日本股票基金-AT累積類股(美元避險),2026-08-10,39.8683,美元,日本,股票型,47.25,14.75,1.02,淨值+報酬率
japan,,安本基金-日本永續股票基金X累積日圓,2026-08-11,58.7532,日圓,日本,股票型,47.07,13.17,0.96,淨值+報酬率
japan,,聯博-亞洲股票基金AD月配英鎊避險級別(基金之配息來源可能為本金),2026-08-11,19.95,英鎊,亞洲不含日本,股票型,46.99,7.51,0.6,淨值+報酬率
japan,,富蘭克林坦伯頓全球投資系列亞洲成長基金美元F(Acc),2026-08-11,16.7,美元,亞太不含日本,股票型,46.88,16.05,0.56,淨值+報酬率
japan,,瀚亞投資-日本動力股票基金C(美元),2026-08-10,49.39,美元,日本,股票型,46.67,12.72,0.63,淨值+報酬率
japan,,宏利環球基金-亞洲股票基金AA股(本基金非屬環境、社會及治理相關主題之境外基金),2026-08-11,2.2081,美元,亞洲不含日本,股票型,46.67,14.78,0.58,淨值+報酬率
japan,,聯博-亞洲股票基金A澳幣避險級別(基金之配息來源可能為本金),2026-08-11,38.97,澳幣,亞洲不含日本,股票型,46.61,7.65,0.6,淨值+報酬率
japan,,聯博-亞洲股票基金AD月配澳幣避險級別(基金之配息來源可能為本金),2026-08-11,18.54,澳幣,亞洲不含日本,股票型,46.61,7.73,0.6,淨值+報酬率
japan,,聯博-亞洲股票基金ED月配級別美元(基金之配息來源可能為本金),2026-08-11,19.36,美元,亞洲不含日本,股票型,46.47,7.32,0.59,淨值+報酬率
